,file,speaker,sex,age,nationality,level,code,type,ref,ans,rec,count,C,S,I,D,error,per
948,0171909,0771,M,2,Chinese,B,RS001,S,가족이 몇 명이에요,G A J O G I M iEO t M iEO NG I E iO,G A J O G I I M iEO t M iEO NG I E iO,"Counter({'C': 15, 'I': 1})",15,0,1,0,insertion of < I >,0.046511627906976744
949,0171916,0771,M,2,Chinese,B,RS005,S,여권 사진을 찍어야 되는데 어디에서 찍으면 좋을까요,iEO G uEO N S A J I N EU L JJ I G EO iA D OE N EU N D E EO D I E S EO JJ I G EU M iEO N J O EU L GG A iO,iEO G uEO N S A S A J I N EU L JJ I G EO iA D OE N EU N D E EO D I E S EO JJ I G EU M iEO N J O EU L GG A iO,"Counter({'C': 43, 'I': 2})",43,0,2,0,"insertion of < S >, insertion of < A >",0.03278688524590164
950,0171918,0771,M,2,Chinese,B,RS007,S,금요일이 좋아요 일요일이 좋아요,G EU M iO I R I J O A iO I R iO I R I J O A iO,G EU M M iO I R I J O A iO I R iO R I J O A iO,"Counter({'C': 20, 'I': 1, 'D': 1})",20,0,1,1,"insertion of < M >, deletion of < I >",0.06956521739130435
951,0171921,0771,M,2,Chinese,B,RS009,S,등록금에 수업료가 포함돼요,D EU NG N O k GG EU M E S U EO M N iO G A Ph O A M D OE iO,D EU NG N O k GG EU GG M E S U N iO G A Ph O A M D OE D OE iO,"Counter({'C': 23, 'I': 3, 'D': 2})",23,0,3,2,"insertion of < GG >, deletion of < EO >, deletion of < M >, insertion of < D >, insertion of < OE >",0.152317880794702
952,0171926,0771,M,2,Chinese,B,RS013,S,오늘 그 가게 문 안 열었어요,O N EU L G EU G A G E M U N A N iEO R EO SS EO iO,O N EU L G EU G A G E M U N A A N iEO R EO SS EO iO,"Counter({'C': 21, 'I': 1})",21,0,1,0,insertion of < A >,0.03389830508474576
953,0171928,0771,M,2,Chinese,B,RS014,S,오늘 날씨가 참 따뜻하지요,O N EU L N A L SS I G A CHh A M D A DD EU Th A J I iO,O N EU L N A L SS I G A CHh A M D A DD EU Th A J I,"Counter({'C': 22, 'D': 1})",22,0,0,1,deletion of < iO >,0.04878048780487805
954,0171932,0771,M,2,Chinese,B,RS017,S,내일 몇 시까지 오면 될까요,N E I R M iEO t S I GG A J I O M iEO N D OE L GG A iO,N E I R M iEO t S I GG A J I O M iEO A N D OE L GG A iO,"Counter({'C': 23, 'I': 1})",23,0,1,0,insertion of < A >,0.03125
955,0171934,0771,M,2,Chinese,B,RS018,S,여기 물하고 반찬 좀 더 주시겠어요,iEO G I M U R H A G O B A N CHh A N J O M D EO J U S I G E SS EO iO,iEO G I M U R U H A G O B A N CHh A N J O M D EO J U S I G E SS EO iO,"Counter({'C': 30, 'I': 1})",30,0,1,0,insertion of < U >,0.024539877300613498
956,0171935,0771,M,2,Chinese,B,RS019,S,발 편한 운동화를 신고 오세요,B A L Ph iEO N A N U N D O NG H oA R EU L S I N G O O S E iO,B A L Ph iEO N H A N U N D O NG H R EU L S I N G O O S E iO,"Counter({'C': 26, 'I': 1, 'D': 1})",26,0,1,1,"insertion of < H >, deletion of < oA >",0.061224489795918366
957,0171944,0771,M,2,Chinese,B,RS051,S,창문이 열렸네요 닫아 주세요,CHh A NG M U N I iEO L L iEO N N E iO D A D A J U S E iO,CHh A NG M U N I iEO L L iEO N N E iO D A D A J U S E iO D A D A J U S,"Counter({'C': 24, 'I': 7})",24,0,7,0,"insertion of < D >, insertion of < A >, insertion of < D >, insertion of < A >, insertion of < J >, insertion of < U >, insertion of < S >",0.18787878787878787
