,file,speaker,sex,age,nationality,level,code,type,ref,ans,rec,count,C,S,I,D,error,per
400,0079178,0363,F,1,English,B,RS004,S,저는 지금 음료수하고 꽃을 사러 갔다 와야 돼요,J EO N EU N J I G EU M EU M N iO S U A G O GG O CHh EU L S A R EO G A t DD A oA iA D OE iO,J EO N EU N J I G EU M EU M N iO S U A G O GG O CHh EU L S A R EO G A t DD A oA iA A D OE iO,"Counter({'C': 38, 'I': 1})",38,0,1,0,insertion of < A >,0.01904761904761905
401,0079212,0363,F,1,English,B,RS007,S,금요일이 좋아요 일요일이 좋아요,G EU M iO I R I J O A iO I R iO I R I J O A iO,G EU M iO R I J O A iO I R iO R I J O A iO,"Counter({'C': 19, 'D': 2})",19,0,0,2,"deletion of < I >, deletion of < I >",0.07272727272727272
402,0079225,0363,F,1,English,B,RS008,S,일 년 전 우리가 한국말을 어떻게 했는지 생각 나세요,I L N iEO N J EO N U R I G A H A N G U NG M A R EU L EO DD EO Kh E H E N N EU N J I S E NG G A k N A S E iO,E I L N iEO N J EO N U R I G A H A N G U NG M A R EU L EO DD EO Kh E H E N N EU N J I S E NG G A k N A S E iO U G I N N A S E iO,"Counter({'C': 48, 'I': 10})",48,0,10,0,"insertion of < E >, insertion of < N >, insertion of < A >, insertion of < S >, insertion of < E >, insertion of < iO >, insertion of < U >, insertion of < G >, insertion of < I >, insertion of < N >",0.14429530201342283
403,0079271,0363,F,1,English,B,RS013,S,오늘 그 가게 문 안 열었어요,O N EU L G EU G A G E M U N A N iEO R EO SS EO iO,O N EU L G EU G A O N EU L G EU G A G E M U N A iEO R EO SS EO iO,"Counter({'C': 20, 'I': 8, 'D': 1})",20,0,8,1,"insertion of < O >, insertion of < N >, insertion of < EU >, insertion of < L >, insertion of < G >, insertion of < EU >, insertion of < G >, insertion of < A >, deletion of < N >",0.24516129032258063
404,0079316,0363,F,1,English,B,RS017,S,내일 몇 시까지 오면 될까요,N E I R M iEO t S I GG A J I O M iEO N D OE L GG A iO,N E M iEO t S I GG A J I O M iEO N D OE L GG A iO,"Counter({'C': 21, 'D': 2})",21,0,0,2,"deletion of < I >, deletion of < R >",0.06504065040650407
405,0079326,0363,F,1,English,B,RS018,S,여기 물하고 반찬 좀 더 주시겠어요,iEO G I M U R H A G O B A N CHh A N J O M D EO J U S I G E SS EO iO,iEO G I M U R H A G O B A N CHh A N J O M D EO J G J U S I G E SS EO iO,"Counter({'C': 30, 'I': 2})",30,0,2,0,"insertion of < J >, insertion of < G >",0.047619047619047616
406,0079338,0363,F,1,English,B,RS020,S,아버지와 어머니 중에서 누구하고 닮았어요,A B EO J I oA EO M EO N I J U NG E S EO N U G U A G O D A L M A SS EO iO,J EO N E oA A B EO J I oA EO M EO N I J U NG E S EO N U G U A G O D A L M A SS EO iO,"Counter({'C': 32, 'I': 5})",32,0,5,0,"insertion of < J >, insertion of < EO >, insertion of < N >, insertion of < E >, insertion of < oA >",0.16568047337278108
407,0079364,0363,F,1,English,B,RS023,S,주말에 별일 없으면 우리 집에 와서 밥 같이 먹어요,J U M A R E B iEO R I N EO p SS EU M iEO N U R I J I B E oA S EO B A p G A Th I M EO G EO iO,J U M A R E B iEO I R I N EO p SS EU M iEO N U R I J I B E oA S EO B A p G A Th I M EO G EO iO,"Counter({'C': 40, 'I': 1})",40,0,1,0,insertion of < I >,0.01834862385321101
408,0079386,0363,F,1,English,B,RS051,S,창문이 열렸네요 닫아 주세요,CHh A NG M U N I iEO L L iEO N N E iO D A D A J U S E iO,CHh A NG M U N I iEO L L iEO N N EU N D E CHh A NG M U N I iEO L L iEO N N E iO D A D A J U S E iO,"Counter({'C': 24, 'I': 17})",24,0,17,0,"insertion of < CHh >, insertion of < A >, insertion of < NG >, insertion of < M >, insertion of < U >, insertion of < N >, insertion of < I >, insertion of < iEO >, insertion of < L >, insertion of < L >, insertion of < iEO >, insertion of < N >, insertion of < N >, insertion of < EU >, insertion of < N >, insertion of < D >, insertion of < E >",0.34234234234234234
409,0079585,0363,F,1,English,B,RW010,W,노력,N O R iEO k,N O R iEO,"Counter({'C': 4, 'D': 1})",4,0,0,1,deletion of < k >,0.3333333333333333
