ㄱㅏㅇㅡㄹ	G A EU L
ㄱㅏㅅㅓ	G A S EO
ㄱㅏㄱㅔ	G A G E
ㄱㅏㅁㅏㄴㅎㅣ	G A M A N I
ㄱㅏㄱㅜㅇㅢ	G A G U euI
ㄱㅏㅈㅗㄱㅇㅣ	G A J O G I
ㄱㅏ	G A
ㄱㅏㅅㅡㅁㅇㅣ	G A S EU M I
ㄱㅏㅈㅏ	G A J A
ㄱㅏㄴㅈㅏㅇ	G A N J A NG
ㄱㅏㄴㅅㅣㄱ	G A N S I k
ㄱㅏㄹㄲㅏ	G A L GG A
ㄱㅏㄹㄷㅐㅇㅔ	G A L D E E
ㄱㅏㄹㄷㅡㅇ	G A L D EU NG
ㄱㅏㄹㅂㅣ	G A L B I
ㄱㅏㅁㄱㅣ	G A M G I
ㄱㅏㅁㅅㅏㅇㅢ	G A M S A euI
ㄱㅏㅁㅅㅏㅎㅏㅂㄴㅣㄷㅏ	G A M S A A M N I D A
ㄱㅏㅆㄷㅏ	G A t DD A
ㄱㅏㅆㅇㅓㅇㅛ	G A SS EO iO
ㄱㅏㅆㅈㅣ	G A t JJ I
ㄱㅏㅌㅇㅣ	G A Th I
ㄱㅏㅍㅇㅏㅆㄷㅏ	G A Ph A t DD A
ㄱㅓㅅㅇㅣ	G EO S I
ㄱㅓㄷㅎㅣㄴ	G EO Th I N
ㄱㅏㅈㄷㅏ	G A t DD A
ㄱㅓㅇㅑ	G EO iA
ㄱㅏㅌㅅㅡㅂㄴㅣㄷㅏ	G A t SS EU M N I D A
ㄱㅏㅌㅇㅡㄴ	G A Th EU N
ㄱㅓㄹㄹㅕㅇㅛ	G EO L L iEO iO
ㄱㅓ	G EO
ㄱㅕㄹㅈㅓㅇㅇㅡㄴ	G iEO L J EO NG EU N
ㄱㅖㅅㅗㄱㅎㅏㄹ	G iE S O Kh A L
ㄱㅘㄴㅅㅣㅁㅇㅣ	G oA N S I M I
ㄱㅗㅇㄱㅝㄴㄹㅕㄱㅇㅢ	G O NG G uEO N N iEO G euI
ㄱㅓㅅ	G EO t
ㄱㅗㅎㅑㅇㅇㅔㅅㅓㄴㅡㄴ	G O iA NG E S EO N EU N
ㄱㅓㄹ	G EO L
ㄱㅓㅅㅇㅡㄹ	G EO S EU L
ㄱㅗㅇㅂㅜㅎㅏㄱㅔ	G O NG B U A G E
ㄱㅔ	G E
ㄱㅙㄴㅊㅏㄶㄷㅏ	G OE N CHh A N Th A
ㄱㅚㅁㅜㄹ	G OE M U L
ㄱㅡㄴㄹㅗㅈㅏ	G EU N N O J A
ㄱㅜㄱㅇㅣ	G U G I
ㄱㅕㄲㄷㅏ	G iEO k DD A
ㄱㅜㄱㅁㅣㄴ	G U NG M I N
ㄱㅕㄱㄹㅕ	G iEO NG N iEO
ㄱㅖㅅㅔㅇㅛ	G iE S E iO
ㄱㅜㅎㅏㄷㅏ	G U A D A
ㄱㅗㅈㅓ	Kh O J EO
ㄱㅟ	G UI
ㄱㅡ	G EU
ㄲㅗㅊ	G O N
ㄱㅡㅁㅏㄴ	G EU M A N
ㄱㅗㅇㅉㅏ	G O NG JJ A
ㄱㅡㄹㅣㅁ	G EU R I M
ㄱㅗㅇㅂㅜㅎㅐㅆㅅㅡㅂㄴㅣㄷㅏ	G O NG B U E S SS EU M N I D A
ㄱㅗㅇㅎㅏㅇㄱㅘ	G O NG H A NG G oA
ㄱㅡㄱㅓㅅㄷㅗ	G EU G EO t DD O
ㄱㅗㅇㅎㅏㅇㅇㅣ	G O NG H A NG I
ㄱㅣㄴㅡㅇㅇㅣ	G I N EU NG I
ㄱㅣㄷㅏㄹㅕ	G I D A R iEO
ㄴㅐㅇㅛㅇㅇㅡㄹ	N E iO NG EU L
ㄱㅣㅁㅊㅣ	G I M CHh I
ㄱㅜㄷㅜ	G U D U
ㄱㅣㄹㅇㅣ	G I R I
ㄱㅘㅈㅓㅇ	G oA J EO NG
ㄱㅛㅇㅠㄱㅇㅕㄹ	G iO iU G iEO R
ㄱㅣㄷㅏㄹㅣㄷㅏ	G I D A R I D A
ㄱㅜㄱㄴㅐㅅㅓㄴ	G U NG N E S EO N
ㄲㅗㄱ	GG O k
ㄲㅡㄶㅈㅣㅁㅏㄴ	GG EU N CHh I M A N
ㄷㅏㄹㅡㄴ	D A R EU N
ㄴㅏㄱㅏ	N A G A
ㄱㅝㄴㄹㅕㄱㄱㅘ	G uEO N N iEO k GG oA
ㄴㅏ	N A
ㄱㅜㄱㅈㅔㅅㅓㄴ	G U k JJ E S EO N
ㄱㅜㅇㄹㅣ	G U NG N I
ㄲㅗㅊㅇㅡㄹ	GG O CHh EU L
ㄱㅝㄴㅎㅏㄷㅏ	G uEO N A D A
ㄴㅏㄴㅡㄴ	N A N EU N
ㄴㅏㅈㅜㅇㅇㅔ	N A J U NG E
ㄷㅚㄴㅡㄴㄷㅔ	D OE N EU N D E
ㄴㅓㅁㅜ	N EO M U
ㄱㅡㄹㅡㅅ	G EU R EU S
ㄴㅓ	N EO
ㄱㅡㄱㅓ	G EU G EO
ㄱㅡㄹㅓㄴㄷㅔ	G EU R EO N D E
ㄴㅏㅅㅔㅇㅛ	N A S E iO
ㄱㅡㄹㅓㅎㄱㅔ	G EU R EO Kh E
ㄴㅗㄹㅕㄱ	N O R iEO k
ㄴㅗㄹㅕㄱㅇㅡㄹ	N O R iEO G EU L
ㄸㅐㅁㅜㄴㅇㅣㄷㅏ	D E M U N I D A
ㄴㅣ	N I
ㄱㅡㅂㅎㅏㄴ	G EU Ph A N
ㄴㅡㅈㅇㅡㅅㅣㅁㅕㄴ	N EU J EU S I M iEO N
